Product Name,Product Price,Product Quantity,Product Brand,Product Category,Product Tag,Product Discount,Link to Product
MSM PRAI COARSE SUGAR 1KG,RM2.85,77,MSM,"All items,Baking Ingredients,Cooking Ingredients,Except Alcohol,Groceries,Nuts, Seeds & Dried Goods,Pantry","Baking,Baking Ingredients,Cooking,Cooking Ingredients,Dried Goods,Groceries,Pantry,Sugar",,https://vsj.bites.com.my/collections/groceries/products/msm-prai-coarse-sugar-1kg
PREGO TRADITIONAL PASTA SAUCE 300G,RM5.95 RM5.68,15,Prego,"All items,CNY Fair,Condiments & Salad Dressings,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","CNY Fair,Condiments,Groceries,On Sale,Pantry,Pasta Sauces,Prego,Sauces",-5%,https://vsj.bites.com.my/collections/groceries/products/prego-traditional-pasta-sauce-300g
YOU.C1000 LEMON DRINK 6X140ML,RM18.20 RM14.98,16,You.C1000,"All items,Beverages,Chilled Juices & Drinks,Cold Beverages,Except Alcohol,Groceries,Juices & Fruit Drinks","Beverages,Chilled Drinks,Fruit Drinks,Groceries,On Sale,You.C1000",-18%,https://vsj.bites.com.my/collections/groceries/products/youc1000-lemon-drink-6x140ml
SAN REMO PENNE RIGATI 500G,RM5.30 RM4.68,9,San Remo,"All items,Christmas Fair,CNY Fair,Except Alcohol,Groceries,Pantry,Pasta,Pasta, Rice & Noodles","Christmas Fair,CNY Fair,Groceries,Noodles,On Sale,Pantry,Pasta,San Remo",-12%,https://vsj.bites.com.my/collections/groceries/products/san-remo-penne-rigati-500g
PRINGLES ORIGINAL (USA) 149G,RM10.00,8,Pringles,"All items,Chips & Crackers,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Chips,groceries,pantry,Pringles,Snacks",,https://vsj.bites.com.my/collections/groceries/products/pringles-original-usa-149g
PRINGLES CHEEZY CHEESE 102G,RM7.80 RM6.68,38,Pringles,"All items,Chips & Crackers,Christmas Fair,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Chips,Christmas Fair,Groceries,On Sale,Pantry,Pringles,Snacks",-15%,https://vsj.bites.com.my/collections/groceries/products/pringles-cheezy-cheese-102g
MARIGOLD UHT MILK FULL CREAM 1L,RM8.20 RM7.58,7,Marigold,"All items,Beverages,Dairy & Eggs,Except Alcohol,Fridge,Groceries,Mixed Drinks & Cordials,UHT Milk","Beverages,Dairy,Groceries,Marigold,On Sale,UHT,UHT Milk",-8%,https://vsj.bites.com.my/collections/groceries/products/marigold-uht-milk-full-cream-1l
LKK LESS SALTY SOY SAUCE 500ML,RM9.05,16,Lee Kum Kee,"All items,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","Lee Kum Kee,Pantry,Sauces,Soy Sauce",,https://vsj.bites.com.my/collections/groceries/products/lkk-less-salty-soy-sauce-500ml
FAIZA BIHUN SIAM 400GM,RM3.95,7,Faiza,"All items,Except Alcohol,Groceries,Pantry,Pasta, Rice & Noodles,Rice","Bihun,Faiza,Groceries,Noodles,Pantry,Rice",,https://vsj.bites.com.my/collections/groceries/products/faiza-bihun-siam-400gm
NATUREL SOFT MARGERINE 500G,RM12.50 RM10.68,18,Naturel,"All items,Butter & Margarine,Dairy & Eggs,Except Alcohol,Groceries,Pantry","Chilled Spread,Groceries,Margarine,Naturel,On Sale,Pantry",-15%,https://vsj.bites.com.my/collections/groceries/products/naturel-soft-margerine-500g
FAIZA KASHMIR BASMATHI RICE 5KG,RM33.60 RM33.50,3,Village Grocer - Subang Parade,"All items,Except Alcohol,Groceries,Pantry,Pasta, Rice & Noodles,Rice","Faiza,Groceries,On Sale,Pantry,Rice",-1%,https://vsj.bites.com.my/collections/groceries/products/faiza-kashmir-basmathi-rice-5kg
MISSION TORTILLA CHIPS MULTIGRAIN 170G,RM8.80,6,Mission,"All items,Chips & Crackers,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Chips,Groceries,Mission,Pantry,Snacks",,https://vsj.bites.com.my/collections/groceries/products/mission-tortilla-chips-multigrain-170g
OSK JAPANESE GREEN TEA 50X2G,RM23.90 RM20.88,8,OSK,"All items,Beverages,Coffee & Tea,Except Alcohol,Groceries,Hot Beverages","Beverages,Green Tea,Hot Beverages,On Sale,OSK,Tea",-13%,https://vsj.bites.com.my/collections/groceries/products/osk-japanese-green-tea-50x2g
HEINZ TOMATO KETCHUP 300G,RM5.45 RM4.99,37,Heinz,"*Korean Fair,All items,Condiments & Salad Dressings,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","Condiments,Groceries,Heinz,Korean Fair,On Sale,Pantry,Sauces",-9%,https://vsj.bites.com.my/collections/groceries/products/heinz-tomato-ketchup-300g
NATUREL EXTRA VIRGIN OLIVE OIL 750ML,RM54.50 RM49.88,4,Naturel,"All items,Christmas Fair,CNY Fair,Cooking Ingredients,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","Christmas Fair,CNY Fair,Cooking Ingredient,Groceries,Naturel,Oil,On Sale,Pantry",-9%,https://vsj.bites.com.my/collections/groceries/products/naturel-extra-virgin-olive-oil-750ml
BARILLA FUSILLI 98 500G,RM8.40 RM7.28,9,Barilla,"All items,Except Alcohol,Groceries,Pantry,Pasta,Pasta, Rice & Noodles","Barilla,Groceries,On Sale,Pantry,Pasta",-14%,https://vsj.bites.com.my/collections/groceries/products/barilla-fusilli-98-500g
MUNCHYS CREAM CRACKER 300G,RM5.95,11,Munchy's,"All items,Biscuits & Cookies,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Cookies,Groceries,Munchy's,Pantry,Snacks",,https://vsj.bites.com.my/collections/groceries/products/munchys-cream-cracker-300g
NESCAFE GOLD RP 170G,RM36.45 RM33.68,9,Nescafe,"*Korean Fair,All items,Beverages,Coffee & Tea,Except Alcohol,Groceries,Hot Beverages","Beverages,Coffee,Groceries,Hot Beverages,Korean Fair,Nescafe,On Sale",-8%,https://vsj.bites.com.my/collections/groceries/products/nescafe-gold-rp-170g
HOSEN LONGAN 565G,RM10.25 RM9.88,14,Hosen,"All items,CNY Fair,Except Alcohol,Groceries,Pantry","Canned Fruits,CNY Fair,Groceries,Hosen,On Sale,Pantry",-4%,https://vsj.bites.com.my/collections/groceries/products/hosen-longan-565g
SERI MURNI COOKING OIL 5KG,RM30.90,3,Seri Murni,"All items,Cooking Ingredients,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","Cooking Ingredients,Cooking Oil,Groceries,Minyak,Oil,Pantry",,https://vsj.bites.com.my/collections/groceries/products/seri-murni-cooking-oil-5kg
CARLSBERG BEER CAN (GL) 24X320ML,RM168.00 RM119.88,5,Carlsberg,"Alcohol,Alcohol Deals,All items,Beer,Beer & Cider,Beverages,Beverages Offer,Groceries","Alcohol,Alcohol Deals,Beer,Beverages,Beverages Offer,Booze,Carlsberg,On Sale",-29%,https://vsj.bites.com.my/collections/groceries/products/carlsberg-beer-can-gl-24x320ml
JASMINE PUSA CREAM BASMATHI SELLA PARBOI 5KG,RM49.90 RM37.88,3,Jasmine,"All items,CNY Fair,Except Alcohol,Groceries,Pantry,Pasta, Rice & Noodles,Rice","CNY Fair,Fragrant Rice,Groceries,Jasmine,On Sale,Pantry,Rice",-25%,https://vsj.bites.com.my/collections/groceries/products/jasmine-pusa-cream-basmathi-sella-parboi-5kg
IDEAL EVAPORATED 390G,RM5.50,48,Ideal,"All items,Childhood Memories,Childhood Memories,Except Alcohol,Groceries,Pantry","Canned Milk,Childhood Memories,Creamer,Evaporated Creamer,Groceries,Ideal,Pantry",,https://vsj.bites.com.my/collections/groceries/products/ideal-evaporated-390g
HELLMANN REAL MAYONNAISE SQUEEZY 430ML,RM19.90,22,Hellmann,"All items,Condiments & Salad Dressings,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","Condiments,Groceries,Hellmann,Pantry,Sauces",,https://vsj.bites.com.my/collections/groceries/products/hellmann-real-mayonnaise-squeezy-430ml
F&N HI-CAL KRIMER PEKAT MANIS 500G,RM4.40 RM3.98,28,F&N,"All items,Beverages,Except Alcohol,Groceries,Hot Beverages","Beverages,Creamer,F&N,Groceries,Hot Beverages,On Sale,Sweetener",-10%,https://vsj.bites.com.my/collections/groceries/products/f-n-hi-cal-krimer-pekat-manis-500g
KEWPIE DRESSING ROASTED SESAME 500ML,RM19.70 RM18.88,18,Kewpie,"All items,CNY Fair,Condiments & Salad Dressings,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","CNY Fair,Condiments,Dressings,Groceries,Kewpie,On Sale,Pantry,Sauces",-5%,https://vsj.bites.com.my/collections/groceries/products/kewpie-dressing-roasted-sesame-500ml
GUINNESS STOUT CAN 4X320ML,RM32.50 RM23.88,154,Guinness,"Alcohol,All items,Beer,Beer & Cider,Beverages,Beverages Offer,Groceries","Alcohol,Beer,Beverages,Beverages Offer,Booze,Guinness,On Sale,Stout",-27%,https://vsj.bites.com.my/collections/groceries/products/guinness-stout-can-4x320ml
LIFE CHILLI SAUCE 500G,RM5.60 RM5.35,14,Life,"All items,Condiments & Salad Dressings,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","Chilli Sauce,Condiments,Groceries,Life,On Sale,Pantry,Sauces",-5%,https://vsj.bites.com.my/collections/groceries/products/life-chilli-sauce-500g
100 PLUS ORIGINAL RS 1.5L,RM4.45,27,100 Plus,"All items,Beverages,Beverages Offer,Carbonated Drinks,CNY Fair,Except Alcohol,Groceries,Sports & Energy Drinks","100Plus,Beverages,Beverages Offer,Carbonated Drinks,CNY Fair,Energy Drinks,Sports Drink",,https://vsj.bites.com.my/collections/groceries/products/100-plus-original-rs-1-5l
BIN BIN RICE CRACKER 150G,RM9.15 RM9.00,4,Bin Bin,"All items,Chips & Crackers,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Bin Bin,Crackers,groceries,On Sale,pantry,Snacks",-2%,https://vsj.bites.com.my/collections/groceries/products/bin-bin-rice-cracker-150g
NESTLE KOKO KRUNCH 300G,RM12.45 RM11.88,16,Nestle,"All items,Breakfast & Cereals,Except Alcohol,Groceries,Pantry","Breakfast,Cereals,Groceries,Koko Krunch,Nestle,On Sale,Pantry",-5%,https://vsj.bites.com.my/collections/groceries/products/nestle-koko-krunch-300g
COCA-COLA RASA ASLI 320ML,RM2.10,784,Coca-Cola,"All items,Beverages,Carbonated Drinks,Except Alcohol,Groceries,Pantry","Beverages,Carbonated Drinks,Coca Cola,Groceries,Pantry",,https://vsj.bites.com.my/collections/groceries/products/coca-cola-rasa-asli-320ml
BARILLA BAVETTE (LINGUINE) N13 500G,RM8.15 RM7.28,23,Barilla,"All items,Except Alcohol,Groceries,Pantry,Pasta,Pasta, Rice & Noodles","Barilla,Groceries,On Sale,Pantry,Pasta",-11%,https://vsj.bites.com.my/collections/groceries/products/barilla-bavette-linguine-n13-500g
AYAM BRAND SWEET CORN 200G,RM3.80,6,Ayam Brand,"All items,Canned Food & Instant Meals,Except Alcohol,Groceries,Pantry","Ayam Brand,Canned Food,Groceries,Instant Meals,Pantry",,https://vsj.bites.com.my/collections/groceries/products/ayam-brand-sweet-corn-200g
SPRITZER MINERAL WATER 1.25L,RM2.60,12,Spritzer,"All items,Beverages,Except Alcohol,Groceries,Water","Beverages,Groceries,Mineral Water,Spritzer,Water",,https://vsj.bites.com.my/collections/groceries/products/spritzer-mineral-water-1-25l
NUTELLA B READY 132G,RM15.10,9,Nutella,"All items,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Groceries,Nutella,Pantry,Snacks",,https://vsj.bites.com.my/collections/groceries/products/nutella-b-ready-132g
ARNOTTS TIM TAM CARAMEL CHEW BISCUITS 175G,RM15.50 RM14.28,49,Arnott's,"All items,Biscuits & Cookies,Christmas Fair,Except Alcohol,Groceries,October Deals,Pantry,Snacks & Sweets","Arnott's,Biscuits,Christmas Fair,Cookies,Groceries,October Deals,On Sale,Pantry,Snacks",-8%,https://vsj.bites.com.my/collections/groceries/products/arnotts-tim-tam-caramel-chew-biscuits-175g
DUTCH LADY UHT MILKY FROZEN F/CREAM 4X125ML,RM5.75,12,Dutch Lady,"All items,Beverages,Dairy & Eggs,Except Alcohol,Fridge,Groceries,Milk,UHT Milk","Beverages,Dairy,Dutch Lady,Groceries,Milk,UHT Milk",,https://vsj.bites.com.my/collections/groceries/products/dutch-lady-uht-milky-frozen-fcream-4x125ml
MUNCHYS TOPMIX ASSORTED BISCUITS 500G,RM9.70,9,Munchy's,"All items,Biscuits & Cookies,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Biscuits,Groceries,Munchy's,Pantry,Snacks",,https://vsj.bites.com.my/collections/groceries/products/munchys-topmix-assorted-biscuits-500g
SPRITZER MINERAL WATER (6IN1) 6X1.25L,RM14.52,2,Spritzer,"All items,Beverages,Except Alcohol,Groceries,Water","Beverages,Groceries,Mineral Water,Spritzer,Water",,https://vsj.bites.com.my/collections/groceries/products/spritzer-mineral-water-6in1-6x1-25l
KIMBALL SPAGHETTI 400GM,RM4.05 RM3.78,37,Kimball,"All items,Except Alcohol,Groceries,Pantry,Pasta,Pasta, Rice & Noodles","Groceries,Kimball,On Sale,Pantry,Pasta,Spaghetti",-7%,https://vsj.bites.com.my/collections/groceries/products/kimball-spaghetti-400gm
TAO KAE NOI BIG BANG CLASSIC 50GM,RM12.75 RM12.48,4,Tao Kae Noi,"All items,Chips & Crackers,Christmas Fair,CNY Fair,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Chips,Christmas Fair,CNY Fair,Groceries,On Sale,Pantry,Snacks,Tao Kae Noi",-3%,https://vsj.bites.com.my/collections/groceries/products/tao-kae-noi-big-bang-classic-50gm
KELLOGG'S CORN FLAKES 500G,RM16.05 RM15.18,5,Kellogg's,"All items,Breakfast & Cereals,CNY Fair,Except Alcohol,Groceries,Pantry","Breakfast,Cereal,CNY Fair,Groceries,Kellogg's,On Sale,Pantry",-6%,https://vsj.bites.com.my/collections/groceries/products/kellogg-s-corn-flakes-500g
PREGO FETTUCCINE 500G,RM5.20 RM4.88,18,Prego,"All items,Christmas Fair,CNY Fair,Except Alcohol,Groceries,Pantry,Pasta,Pasta, Rice & Noodles","Christmas Fair,CNY Fair,Groceries,On Sale,Pantry,Pasta,Prego",-7%,https://vsj.bites.com.my/collections/groceries/products/prego-fettuccine-500g
SPRITZER MINERAL WATER 24X550ML,RM30.00,3,Spritzer,"All items,Beverages,Except Alcohol,Groceries,Water","Beverages,Groceries,Mineral Water,Spritzer,Water",,https://vsj.bites.com.my/collections/groceries/products/spritzer-mineral-water-24x550ml
KELLOGG'S COCO POPS 350G,RM14.90,21,Kellogg's,"All items,Breakfast & Cereals,Christmas Fair,Except Alcohol,Groceries,Pantry","Breakfast,Cereal,Christmas Fair,Groceries,Kellogg's,Pantry",,https://vsj.bites.com.my/collections/groceries/products/kellogg-s-coco-pops-350g
PREGO CHEESE/HERBS CREAMY 290G,RM5.95 RM5.68,22,Prego,"All items,CNY Fair,Condiments & Salad Dressings,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","CNY Fair,Condiments,Groceries,On Sale,Pantry,Pasta Sauces,Prego,Sauces",-5%,https://vsj.bites.com.my/collections/groceries/products/prego-cheese-herbs-creamy-290g
INDOMIE MI GORENG SPECIAL 5X85G,RM5.89 RM5.28,93,Indomie,"All items,Canned Food & Instant Meals,Christmas Fair,Except Alcohol,Groceries,Pantry","Christmas Fair,Groceries,Indomie,Instant Meals,Instant Noodles,On Sale,Pantry",-11%,https://vsj.bites.com.my/collections/groceries/products/indomie-mi-goreng-special-5x85g
PREGO TRADITIONAL PASTA SAUCE 680G,RM14.60,22,Prego,"All items,Christmas Fair,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","Christmas Fair,Groceries,Pantry,Pasta Sauce,Prego,Sauces",,https://vsj.bites.com.my/collections/groceries/products/prego-traditional-pasta-sauce-680g
NATUREL EXTRA VIRGIN OLIVE OIL 250ML,RM21.50,9,Naturel,"All items,Cooking Ingredients,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","groceries,Naturel,Oil,pantry",,https://vsj.bites.com.my/collections/groceries/products/naturel-extra-virgin-olive-oil-250ml
MISSION TORTILLA CHIPS HOT&SPICY 170G,RM7.80,8,Mission,"All items,Chips & Crackers,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Chips,Groceries,Mission,Pantry,Snacks",,https://vsj.bites.com.my/collections/groceries/products/mission-tortilla-chips-hot-spicy-170g
MARIGOLD PEEL FRESH PINK GUAVA 2L,RM13.40,7,Marigold,"All items,Beverages,Except Alcohol,Groceries,Juices & Fruit Drinks","Beverages,Fruit Drinks,Groceries,Juices,Marigold",,https://vsj.bites.com.my/collections/groceries/products/marigold-peel-fresh-pink-guava-2l
ARNOTTS MILK COFFEE BISCUITS 250G,RM12.15,9,Arnott's,"All items,Biscuits & Cookies,Except Alcohol,Groceries,October Deals,Pantry,Snacks & Sweets","Arnott's,Biscuits,Cookies,Groceries,October Deals,Pantry,Snacks",,https://vsj.bites.com.my/collections/groceries/products/arnotts-milk-coffee-biscuits-250g
MEGAH JAPANESE FRESH UDON NOODLE 600G,RM8.30 RM7.48,9,Megah,"All items,Except Alcohol,Groceries,Pantry,Pasta, Rice & Noodles","Groceries,Megah,Noodles,On Sale,Pantry,Udon",-10%,https://vsj.bites.com.my/collections/groceries/products/megah-japanese-fresh-udon-noodle-600g
NESTLE KITKAT 2F 6PK 6X17G,RM9.00,7,Kit Kat,"All items,Except Alcohol,Groceries,Pantry,Snacks & Sweets","chocolate,groceries,Kit Kat,pantry,Snacks,Sweets",,https://vsj.bites.com.my/collections/groceries/products/nestle-kitkat-2f-6pk-6x17g
OLD TOWN 3IN1 W/CAFE CLASSIC 15SX38G,RM19.80 RM17.88,126,Old Town,"All items,Beverages,Coffee & Tea,Except Alcohol,Groceries,Hot Beverages,Pantry","Beverages,Coffee,Groceries,Hot Beverages,Old Town,On Sale,Pantry",-10%,https://vsj.bites.com.my/collections/groceries/products/old-town-3in1-w-cafe-classic-15sx38g
MARIGOLD 100% JUICE PURPLE VEGGIE 1L,RM7.35 RM5.88,11,Marigold,"All items,Beverages,Christmas Fair,Except Alcohol,Groceries,Juices & Fruit Drinks","Beverages,Christmas Fair,Fruit Drinks,Groceries,Juices,Marigold,On Sale",-20%,https://vsj.bites.com.my/collections/groceries/products/marigold-100-juice-purple-veggie-1l
BARILLA PENNE RIGATE 500G,RM8.40 RM7.28,4,Barilla,"All items,Except Alcohol,Groceries,Pantry,Pasta,Pasta, Rice & Noodles","Barilla,Groceries,On Sale,Pantry,Pasta",-14%,https://vsj.bites.com.my/collections/groceries/products/barilla-penne-rigate-500g
MAGGI HOT CUP CURRY 58G,RM2.50,147,Maggi,"All items,Canned Food & Instant Meals,Except Alcohol,Groceries,Pantry","groceries,Instant Food,Instant Meals,Instant Noodles,Maggi,pantry",,https://vsj.bites.com.my/collections/groceries/products/maggi-hot-cup-curry-58g
AYAM BRAND TUNA CHUNK IN MINERAL WATER 150G,RM7.70 RM7.49,38,Ayam Brand,"All items,Canned Food & Instant Meals,Except Alcohol,Groceries,Pantry","Ayam Brand,Canned Food,Groceries,Instant Meals,On Sale,Pantry",-3%,https://vsj.bites.com.my/collections/groceries/products/ayam-brand-tuna-chunk-in-mineral-water-150g
CADBURY DAIRY MILK HAZELNUT 160G,RM9.60 RM8.48,17,Cadbury,"All items,Christmas Fair,CNY Fair,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Cadbury,Chocolate,Christmas Fair,CNY Fair,Groceries,On Sale,Pantry,Snacks,Sweets",-12%,https://vsj.bites.com.my/collections/groceries/products/cadbury-dairy-milk-hazelnut-160g
PRINGLES HOT & SPICY 102G,RM7.80 RM6.68,42,Pringles,"All items,Chips & Crackers,Christmas Fair,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Chips,Christmas Fair,Groceries,On Sale,Pantry,Pringles,Snacks",-15%,https://vsj.bites.com.my/collections/groceries/products/pringles-hot-spicy-102g
LOTUS CARAMELISED BISCUITS (25S) 156GM,RM9.70,5,Biscoff,"All items,Biscuits & Cookies,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Biscuits,Cookies,Groceries,Lotus,Lotus Biscoff,Pantry,Snacks",,https://vsj.bites.com.my/collections/groceries/products/lotus-caramelised-biscuits-25s-156gm
LOTUS CARAMELISED BISCUITS (25S) 250GM,RM12.00 RM11.28,14,Biscoff,"All items,Biscuits & Cookies,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Biscuits,Cookies,Groceries,Lotus,Lotus Biscoff,On Sale,Pantry,Snacks",-6%,https://vsj.bites.com.my/collections/groceries/products/lotus-caramelised-biscuits-25s-250gm
PEPPERIDGE FARM GOLDFISH CHEDDAR 187G,RM14.50,17,Pepperidge Farm,"All items,Biscuits & Cookies,Christmas Fair,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Biscuits,Christmas Fair,Cookies,Groceries,Pantry,Pepperidge Farm,Snacks",,https://vsj.bites.com.my/collections/groceries/products/pepperidge-farm-goldfish-cheddar-187g
PREGO CARBONARA MUSHROOM 290G,RM5.95 RM5.68,28,Prego,"All items,CNY Fair,Condiments & Salad Dressings,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","CNY Fair,Condiments,Groceries,On Sale,Pantry,Pasta Sauces,Prego,Sauces",-5%,https://vsj.bites.com.my/collections/groceries/products/prego-carbonara-mushroom-290g
KNORR CHICKEN CUBE 12CUBES,RM5.90,10,Knorr,"All items,Cooking Ingredients,Except Alcohol,Groceries,Herbs & Spices,Pantry","groceries,Knorr,pantry,Seasoning",,https://vsj.bites.com.my/collections/groceries/products/knorr-chicken-cube-12cubes
MAGGI CHILI SAUCE 340G,RM4.35,34,Maggi,"All items,Condiments & Salad Dressings,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","Chilli Sauce,Condiments,Groceries,Maggi,Pantry,Sauces",,https://vsj.bites.com.my/collections/groceries/products/maggi-chili-sauce-340g
HOSEN LYCHEE 565G,RM10.10 RM8.88,68,Hosen,"All items,CNY Fair,Except Alcohol,Groceries,Pantry","Canned Fruits,CNY Fair,Groceries,Hosen,On Sale,Pantry",-13%,https://vsj.bites.com.my/collections/groceries/products/hosen-lychee-565g
BARILLA ANGEL HAIR NO.1 500G,RM8.15 RM7.28,20,Barilla,"All items,Except Alcohol,Groceries,Pantry,Pasta,Pasta, Rice & Noodles","Barilla,Groceries,On Sale,Pantry,Pasta",-11%,https://vsj.bites.com.my/collections/groceries/products/barilla-angel-hair-no-1-500g
SAN REMO VERMICELLI NO.2 500GM,RM5.30 RM4.68,4,San Remo,"All items,Christmas Fair,CNY Fair,Except Alcohol,Groceries,Pantry,Pasta,Pasta, Rice & Noodles","Christmas Fair,CNY Fair,Groceries,Noodles,On Sale,Pantry,Pasta,San Remo,Vermicelli",-12%,https://vsj.bites.com.my/collections/groceries/products/san-remo-vermicelli-no-2-500gm
ARNOTTS SCOTCH FINGER 250G,RM15.75,8,Arnott's,"All items,Biscuits & Cookies,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Arnott's,Biscuits,Cookies,Groceries,Pantry,Snacks",,https://vsj.bites.com.my/collections/groceries/products/arnotts-scotch-finger-250g
SPRITE 1.5L,RM4.50 RM3.78,9,Coca-Cola,"All items,Beverages,Carbonated Drinks,Except Alcohol,Groceries","Beverages,Carbonated Drinks,Groceries,On Sale,Soda,Sprite",-16%,https://vsj.bites.com.my/collections/groceries/products/sprite-1-5l
SEDAAP MIE GORENG ASLI 5X90G,RM7.10 RM6.29,39,Mi Sedaap,"All items,Canned Food & Instant Meals,Except Alcohol,Groceries,Pantry","Groceries,Instant Meals,Instant Noodles,Mi Sedaap,On Sale,Pantry",-12%,https://vsj.bites.com.my/collections/groceries/products/sedaap-mie-goreng-asli-5x90g
IKAN BILIS KOPEK BELAH PUTIH TEMPATAN +/-100G,RM10.75,37,Bites Shop,"All items,Except Alcohol,Groceries,Nuts, Seeds & Dried Goods,Pantry","anchovies,Dried Goods,dried seafood,groceries,ikan bilis,pantry",,https://vsj.bites.com.my/collections/groceries/products/ikan-bilis-kopek-belah-putih-tempatan-100g
SPRITZER SPARKLING MINERAL WATER 1L,RM3.90,49,Spritzer,"All items,Beverages,Except Alcohol,Groceries,Water","Beverages,Groceries,Mineral Water,Spritzer,Water",,https://vsj.bites.com.my/collections/groceries/products/spritzer-sparkling-mineral-water-1l
MAKNYONYA INSTANT CHICKEN CURRY SAUCE 200G,RM6.90,7,Mak Nyonya,"All items,Cooking Ingredients,Except Alcohol,Groceries,Herbs & Spices,Pantry,Sauces, Oil & Vinegar","groceries,Mak Nyonya,pantry,Sauces,Seasoning",,https://vsj.bites.com.my/collections/groceries/products/maknyonya-instant-chicken-curry-sauce-200g
TONG GARDEN SALTED PEANUTS 365GM,RM10.90 RM10.28,24,Tong Garden,"All items,CNY Fair,Except Alcohol,Groceries,Nuts, Seeds & Dried Goods,Pantry,Snacks & Sweets","CNY Fair,Groceries,Nuts,On Sale,Pantry,Snacks,Tong Garden",-6%,https://vsj.bites.com.my/collections/groceries/products/tong-garden-salted-peanuts-365gm
TONG GARDEN NUTRIONE ROASTED SALTED PISTACHIO 85G,RM9.50 RM8.48,5,Tong Garden,"All items,Except Alcohol,Groceries,Nuts, Seeds & Dried Goods,Pantry,Snacks & Sweets","Groceries,Nuts,On Sale,Pantry,Snacks,Tong Garden",-11%,https://vsj.bites.com.my/collections/groceries/products/tong-garden-nutrione-roasted-salted-pistachio-85g
MAGGI OYSTER SAUCE 500G,RM7.90 RM7.28,11,Maggi,"All items,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","groceries,Maggi,On Sale,oyster sauce,pantry,Sauces",-8%,https://vsj.bites.com.my/collections/groceries/products/maggi-oyster-sauce-500g
MAGGI OYSTER SAUCE 340G,RM6.00,16,Maggi,"All items,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","groceries,Maggi,oyster sauce,pantry,Sauces",,https://vsj.bites.com.my/collections/groceries/products/maggi-oyster-sauce-340g
JASMINE SUPER 5 (IMPORT) 5KG,RM22.35 RM19.88,3,Jasmine,"All items,Except Alcohol,Groceries,Pantry,Pasta, Rice & Noodles,Rice","Grains,Groceries,Jasmine,On Sale,Pantry,Rice",-12%,https://vsj.bites.com.my/collections/groceries/products/jasmine-super-5-import-5kg
CIRIO WHOLE PEELED TOMATO 3X400GM,RM22.85,13,Cirio,"All items,Canned Food & Instant Meals,Christmas Fair,Except Alcohol,Groceries,Pantry","Canned Food,Christmas Fair,Cirio,Groceries,Instant Meals,Pantry",,https://vsj.bites.com.my/collections/groceries/products/cirio-whole-peeled-tomato-3x400gm
ARNOTTS MINT SLICE CHOC BISCUITS 200G,RM15.75,11,Arnotts,"All items,Biscuits & Cookies,Except Alcohol,Groceries,October Deals,Pantry,Snacks & Sweets","Arnott's,Biscuits,Cookies,Groceries,October Deals,Pantry,Snacks",,https://vsj.bites.com.my/collections/groceries/products/arnotts-mint-slice-choc-biscuits-200g
