Product Name,Product Price,Product Quantity,Product Brand,Product Category,Product Tag,Product Discount,Link to Product
MISSION TORTILLA CHIPS CHEESE 170G,RM7.80,9,Mission,"All items,Chips & Crackers,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Chips,Groceries,Mission,Pantry,Snacks",,https://vsj.bites.com.my/collections/groceries/products/mission-tortilla-chips-cheese-170g
MISSION WRAPS GARLIC 8'S 360GM,RM8.60,27,Mission,"All items,Bakery,Bread,Except Alcohol,Groceries","Bakery,Bread,Groceries,Mission",,https://vsj.bites.com.my/collections/groceries/products/mission-wraps-garlic-8-s-360gm
COCA COLA RASA ASLI 1.5L,RM4.50 RM3.78,16,Coca-Cola,"*Raya Fair,All items,Beverages,Carbonated Drinks,Except Alcohol,Groceries","Beverages,Carbonated Drinks,Coca-Cola,Coke,Cola,Groceries,On Sale,Salam Aidilfitri",-16%,https://vsj.bites.com.my/collections/groceries/products/coca-cola-rasa-asli-1-5l
KEWPIE MAYONNAISE JAPANESE STYLE 310ML,RM11.35,32,Kewpie,"All items,Condiments & Salad Dressings,Except Alcohol,Groceries,Pantry","Condiments,groceries,Kewpie,mayonnaise,pantry",,https://vsj.bites.com.my/collections/groceries/products/kewpie-mayonnaise-japanese-style-310ml
LKK PANDA OYSTER SAUCE 510G,RM9.00,15,Lee Kum Kee,"All items,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","Lee Kum Kee,Oyster Sauce,Pantry,Sauces",,https://vsj.bites.com.my/collections/groceries/products/lkk-panda-oyster-sauce-510g
AYAM BRAND CHILLI TUNA LIGHT 160G,RM7.70 RM7.49,7,Ayam Brand,"All items,Canned Food & Instant Meals,Except Alcohol,Groceries,Pantry","Ayam Brand,Canned Food,Groceries,Instant Meals,On Sale,Pantry",-3%,https://vsj.bites.com.my/collections/groceries/products/ayam-brand-chilli-tuna-light-160gm
MAGGI CHICKEN STOCK CUBE 60G,RM3.40,59,Maggi,"All items,Cooking Ingredients,Except Alcohol,Groceries,Herbs & Spices,Pantry","groceries,Maggi,pantry,Seasoning",,https://vsj.bites.com.my/collections/groceries/products/maggi-chicken-stock-cube-60g
HOMESOY NO SUGAR ADDED 1L,RM3.90 RM3.58,5,Homesoy,"All items,Beverages,CNY Fair,Dairy & Eggs,Except Alcohol,Fridge,Groceries,Mixed Drinks & Cordials","Beverages,CNY Fair,Dairy,Groceries,Homesoy,Mixed Drinks,On Sale,Soy Drinks,Soy Milk",-9%,https://vsj.bites.com.my/collections/groceries/products/homesoy-no-sugar-added-1l
F&N SCFM PEKAT MANIS 500G,RM5.55,23,Bites Shop,"All items,Beverages,Except Alcohol,Groceries,Hot Beverages","Beverages,Creamer,F&N,Groceries,Hot Beverages,Sweetener",,https://vsj.bites.com.my/collections/groceries/products/fn-scfm-pekat-manis-500g
MAGGI CHILLI SAUCE 500G,RM6.00 RM5.58,11,Maggi,"All items,Childhood Memories,Childhood Memories,Condiments & Salad Dressings,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","Childhood Memories,Chilli Sauce,Condiments,Groceries,Maggi,On Sale,Pantry,Sauces",-7%,https://vsj.bites.com.my/collections/groceries/products/maggi-chilli-sauce-500g
SUMO CALROSE RICE 1KG,RM11.10,24,Sumo,"All items,Except Alcohol,Groceries,Pantry,Pasta, Rice & Noodles,Rice","Grains,Groecries,Pantry,Rice,Sumo",,https://vsj.bites.com.my/collections/groceries/products/sumo-calrose-rice-1kg
ARNOTTS TIM TAM DOUBLE CHOCOLATE 200G,RM15.50 RM14.28,14,Arnott's,"All items,Biscuits & Cookies,Christmas Fair,Except Alcohol,Groceries,October Deals,Pantry,Snacks & Sweets","Arnott's,Biscuits,Christmas Fair,Cookies,Groceries,October Deals,On Sale,Pantry,Snacks",-8%,https://vsj.bites.com.my/collections/groceries/products/arnotts-tim-tam-double-chocolate-200g
GARDENIA TOAST'EM CHOCO RAISIN 360G,RM5.50,27,Gardenia,"All items,Bakery,Bread,Except Alcohol,Groceries,Pantry","Bakery,Bread,Gardenia,Groceries,Pantry",,https://vsj.bites.com.my/collections/groceries/products/gardenia-toast-em-choco-raisin-360g
MAGGI TOMATO SAUCE 325G,RM4.45,30,Maggi,"All items,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","groceries,Maggi,pantry,Sauces,tomato ketchup",,https://vsj.bites.com.my/collections/groceries/products/maggi-tomato-sauce-325g
ADABI ASAM JAWA XTRA 200G,RM5.10,10,Adabi,"All items,Except Alcohol,Groceries,Pantry","Adabi,Asam Jawa,Cooking Ingredients,Groceries,Pantry",,https://vsj.bites.com.my/collections/groceries/products/adabi-asam-jawa-xtra-200g
SANITARIUM SO GOOD ALMOND MILK 1L,RM12.20 RM10.68,34,Sanitarium,"All items,Beverages,Christmas Fair,CNY Fair,Dairy & Eggs,Except Alcohol,Fridge,Groceries,Milk","Almond Milk,Beverages,Christmas Fair,CNY Fair,Dairy,Groceries,Milk,On Sale,Sanitarium",-13%,https://vsj.bites.com.my/collections/groceries/products/sanitarium-so-good-almond-milk-1l
CSR BETTER BROWN SUGAR 1KG,RM5.95,4,CSR,"All items,Baking Ingredients,Cooking Ingredients,Except Alcohol,Groceries,Nuts, Seeds & Dried Goods,Pantry","Baking,Baking Ingredients,Cooking,Cooking Ingredients,Dried Goods,Groceries,Pantry,Sugar",,https://vsj.bites.com.my/collections/groceries/products/csr-better-brown-sugar-1kg
